the_temp,humidity,visibility,air_pressure,wind_speed,applicable_date
16.78,40,12.91488955,1020,5.786324269,3/16/2022
18.305,37,13.17804024,1024.5,5.000007353,3/17/2022
19.5,47,12.94844359,1022,5.931063184,3/18/2022
20.545,46,13.18518601,1019,7.075073452,3/19/2022
20.49,47,13.04133858,1016,8.50807339,3/20/2022
17.65,52,9.999726597,1011,8.5138356,3/21/2022
,,,,,
,,,,,
the_temp,humidity,visibility,air_pressure,wind_speed,applicable_date
18.005,37,13.38309274,1025,4.91500902,3/17/2022
20.2,46,12.8555486,1021.5,6.159189382,3/18/2022
19.965,46,13.26689633,1019.5,7.425739254,3/19/2022
19.13,47,13.01213414,1017,9.323566802,3/20/2022
16.55,52,12.13848624,1013.5,9.956063064,3/21/2022
14.98,42,9.999726597,1017,6.46174481,3/22/2022
